Department,Designation,Parameters,KRA (S.M.A.R.T GOALS),KPIs (Measuring Metrics & Data),Suggested Weightage,Comments
IT,Team Lead,People,Interpersonal skills,No Major Escalation for behavioral issues,10.00,Sourced from IT / IT Operations Executive
IT,Team Lead,People,Knowledge Management & Documentation,2 KB documents per quarter,10.00,Sourced from IT / IT Operations Executive
IT,Technical Lead,Project / Process,Logging and tracking support requests through ticketing systems to ensure timely resolution.,95% tickets should be closed based on SLA,10.00,Sourced from IT / IT Operations Executive
IT,Technical Lead,Project / Process,Proactive maintenance Of systems and security,100% of system should be complaint with latest security updates,10.00,Sourced from IT / IT Operations Executive
IT,Technical Lead,Project / Process,Inventory of systems,100% Accurate and updated records shared on weekly basis,10.00,Sourced from IT / IT Operations Executive
IT,Technical Lead,Project / Process,System Maintenance & Availability,100% of system should be complaint and available,10.00,Sourced from IT / IT Operations Executive
IT,Technical Lead,Internal / External Customer,User Support and Training,100% Adherenace to guidelines,10.00,Sourced from IT / IT Operations Executive
IT,Technical Lead,Internal / External Customer,Process Optimization,100% Adherenace to guidelines,10.00,Sourced from IT / IT Operations Executive
IT,Technical Lead,Internal / External Customer,"Communication, Collaboration and Coordination",100% Adherenace to guidelines,10.00,Sourced from IT / IT Operations Executive
IT,Technical Lead,People,Training & skill development,40 hours of training in a year arranged by MGS,10.00,Sourced from IT / IT Operations Executive
IT,Technical Lead,People,Interpersonal skills,No Major Escalation for behavioral issues,10.00,Sourced from IT / IT Operations Executive
IT,Technical Lead,People,Knowledge Management & Documentation,2 KB documents per quarter,10.00,Sourced from IT / IT Operations Executive
IT,Trainee,Project / Process,Logging and tracking support requests through ticketing systems to ensure timely resolution.,95% tickets should be closed based on SLA,10.00,Sourced from IT / IT Operations Executive
IT,Trainee,Project / Process,Proactive maintenance Of systems and security,100% of system should be complaint with latest security updates,10.00,Sourced from IT / IT Operations Executive
IT,Trainee,Project / Process,Inventory of systems,100% Accurate and updated records shared on weekly basis,10.00,Sourced from IT / IT Operations Executive
IT,Trainee,Project / Process,System Maintenance & Availability,100% of system should be complaint and available,10.00,Sourced from IT / IT Operations Executive
IT,Trainee,Internal / External Customer,User Support and Training,100% Adherenace to guidelines,10.00,Sourced from IT / IT Operations Executive
IT,Trainee,Internal / External Customer,Process Optimization,100% Adherenace to guidelines,10.00,Sourced from IT / IT Operations Executive
IT,Trainee,Internal / External Customer,"Communication, Collaboration and Coordination",100% Adherenace to guidelines,10.00,Sourced from IT / IT Operations Executive
IT,Trainee,People,Training & skill development,40 hours of training in a year arranged by MGS,10.00,Sourced from IT / IT Operations Executive
IT,Trainee,People,Interpersonal skills,No Major Escalation for behavioral issues,10.00,Sourced from IT / IT Operations Executive
IT,Trainee,People,Knowledge Management & Documentation,2 KB documents per quarter,10.00,Sourced from IT / IT Operations Executive
Implementation,Assistant Vice President,Financial,"Business Unit Revenue, Profitability & P&L Leadership",Achieve assigned annual BU revenue and gross profit targets,25.00,Sourced from Functional / Delivery / Product / Assistant Vice President
Implementation,Assistant Vice President,Financial,Commercial Strategy & Organic Account Growth,Expand business portfolio by 15%+ through new client contracts and CRs,15.00,Sourced from Functional / Delivery / Product / Assistant Vice President
Implementation,Assistant Vice President,Project / Process,Portfolio Delivery Governance & Operational Excellence,Ensure 100% portfolio projects meet SLA & timeline benchmarks; 0 regulatory breaches,20.00,Sourced from Functional / Delivery / Product / Assistant Vice President
Implementation,Assistant Vice President,Project / Process,Strategic Product Modernization & Quality Gates,Sponsor strategic architecture modernization & enterprise process automation,15.00,Sourced from Functional / Delivery / Product / Assistant Vice President
Implementation,Assistant Vice President,Internal / External Customer,Key Client C-Suite Sponsorship & Relationship Management,Maintain bank C-level satisfaction rating >= 9.2/10; zero major client account loss,13.00,Sourced from Functional / Delivery / Product / Assistant Vice President
Implementation,Assistant Vice President,People,"Organizational Leadership, Culture & Talent Retention",Drive high-performance culture; keep key talent retention rate > 90%,12.00,Sourced from Functional / Delivery / Product / Assistant Vice President
Implementation,Lead,Financial,On-Time Implementation Task Execution,Execute assigned deployment checklists within estimated hours and project budget,20.00,Sourced from Functional / Delivery / Product / Implementation Officer
Implementation,Lead,Financial,Prevent Deployment Re-work Costs,Less than 3% deployment configuration errors requiring re-deployment,15.00,Sourced from Functional / Delivery / Product / Implementation Officer
Implementation,Lead,Project / Process,On-Site / Remote System Installation & Configuration,100% compliance with deployment standard operating procedures (SOPs) and runbooks,25.00,Sourced from Functional / Delivery / Product / Implementation Officer
Implementation,Lead,Project / Process,UAT Patch Deployment & Smoke Testing,Execute UAT deployment patches with 100% accuracy and verify core workflows,20.00,Sourced from Functional / Delivery / Product / Implementation Officer
Implementation,Lead,Internal / External Customer,Client Onboarding Support & Issue Turnaround,Acknowledge client operational support tickets within 15 mins; resolve within SLA,10.00,Sourced from Functional / Delivery / Product / Implementation Officer
Implementation,Lead,People,Technical Skill Growth & Certification,Complete product deployment certifications & 40 hours annual skill training,10.00,Sourced from Functional / Delivery / Product / Implementation Officer
Implementation,Manager,Financial,Project Margin & Delivery Budget Control,Maintain gross project margin >= 35%; control project effort variance < 5%,20.00,Sourced from Functional / Delivery / Product / Manager
Implementation,Manager,Financial,Resource Billability & Cost Optimization,Maintain overall team billable resource utilization rate >= 90%,15.00,Sourced from Functional / Delivery / Product / Manager
Implementation,Manager,Project / Process,Project Milestone Execution & Zoho Governance,100% project milestone tracking and WBS in Zoho; zero project defaults,25.00,Sourced from Functional / Delivery / Product / Manager
Implementation,Manager,Project / Process,Quality Controls & ISO Process Adherence,100% compliance with CMMI/ISO quality standards; QA defect ratio < 5%,20.00,Sourced from Functional / Delivery / Product / Manager
Implementation,Manager,Internal / External Customer,Client Escalation Resolution & Satisfaction,Resolve client escalations within 24 hours SLA; CSAT score >= 9/10,10.00,Sourced from Functional / Delivery / Product / Manager
Implementation,Manager,People,Talent Retention & Performance Appraisals,Keep team attrition < 12%; 100% on-time performance appraisals and check-ins,10.00,Sourced from Functional / Delivery / Product / Manager
Implementation,Senior Business Analyst,Financial,CR Value Identification & Account Revenue Growth,Identify & document CR opportunities contributing to organic revenue expansion,20.00,Sourced from Functional / Delivery / Product / Senior Business Analyst
Implementation,Senior Business Analyst,Financial,Feasibility & Cost-Benefit Analysis,Provide accurate cost-benefit analysis for 100% complex business proposals,15.00,Sourced from Functional / Delivery / Product / Senior Business Analyst
Implementation,Senior Business Analyst,Project / Process,BRD / FSD Creation & End-to-End Workflow Mapping,100% comprehensive BRD/FSD approval with < 3% requirement revision rate,25.00,Sourced from Functional / Delivery / Product / Senior Business Analyst
Implementation,Senior Business Analyst,Project / Process,Gap Analysis & Regulatory Compliance Mapping,0 regulatory compliance oversight in functional specification documents,20.00,Sourced from Functional / Delivery / Product / Senior Business Analyst
Implementation,Senior Business Analyst,Internal / External Customer,Stakeholder Workshop Management & Query Resolution,Achieve client requirement satisfaction rating >= 9/10; 24 hr resolution for queries,10.00,Sourced from Functional / Delivery / Product / Senior Business Analyst
Implementation,Senior Business Analyst,People,Junior BA Mentorship & Functional Knowledge Sharing,Mentor business analyst team; conduct quarterly domain training sessions,10.00,Sourced from Functional / Delivery / Product / Senior Business Analyst
Implementation,Senior Manager,Financial,Portfolio Financial Management & P&L Oversight,Achieve revenue & operating margin targets across assigned project portfolio,25.00,Sourced from Functional / Delivery / Product / Senior Manager
Implementation,Senior Manager,Financial,Account Revenue Expansion via Value Additions,Drive 15%+ organic revenue growth through new modules and change requests,15.00,Sourced from Functional / Delivery / Product / Senior Manager
Implementation,Senior Manager,Project / Process,Portfolio Governance & On-Time Project Delivery,98%+ on-time milestone delivery across portfolio; zero critical delivery defaults,20.00,Sourced from Functional / Delivery / Product / Senior Manager
